Code,Hotel Name,Roomnights,Sale,Cost,Date,Country
CODE|67061,Bel Azur Thalassa,427,12810,7259,"07, 2019",تونس
CODE|67026,Bel Azur Hotel,1947,58410,31152,"07, 2019",Lebanon
CODE|66991,Bel Aire Patong Phuket,1013,27351,15195,"02, 2019",Thailand
CODE|66956,"Bel Air Business Mexico City WTC, Trademark by Wyndham",513,10773,7695,"12, 2019",Mexico
CODE|66921,Bekdas Hotel Deluxe,350,7000,7000,"06, 2019",تركيا
CODE|66886,"BEI San Francisco, Trademark Collection by Wyndham",1957,46968,35226,"06, 2019",USA
CODE|66851,Bedford Motel,1500,30000,22500,"06, 2019",USA
CODE|66816,Bedford Hotel & Congress Centre,905,27150,17195,"11, 2019",Belgium
CODE|66781,Bedford Hotel,675,16875,10125,"04, 2019",UK
CODE|66746,becozy Self Check-in & Pop-up Hotel Sihlcity,117,3393,1872,"01, 2019",سويسرا
CODE|66711,Beaver Run Resort & Conference Center,1412,40948,24004,"01, 2019",USA
CODE|66676,Beau-Rivage,1360,36720,27200,"09, 2019",Egypt
CODE|66641,Beacon Grand A Union Square Hotel,260,5720,4420,"11, 2019",USA
CODE|66606,Beaches Turks & Caicos Resort Villages & Spa,1453,34872,27607,"10, 2019",Turks & Caicos Islands
CODE|66571,Beach Walk Hotel,414,12006,6624,"09, 2019",الإمارات
CODE|66536,Beach Villas,513,15390,10260,"11, 2019",Not Found
CODE|66501,Beach Rotana - Residences,25,575,500,"01, 2019",UAE
CODE|66466,Beach Rotana - All Suites,218,5886,4142,"10, 2019",UAE
CODE|66431,Beach Rotana,110,2970,1760,"08, 2019",UAE
CODE|66396,Beach Resort Salalah,1960,56840,35280,"12, 2019",Oman
CODE|66361,BEACH PALACE,1977,49425,31632,"03, 2019",Mexico
CODE|66326,Beach Haus Bal Harbour,166,4648,2656,"04, 2019",USA
CODE|66291,Beach Club Doganay Hotel,247,6175,4446,"10, 2019",Turkey
CODE|66256,Beach Albatros Resort,1248,27456,24960,"02, 2019",Egypt
CODE|66221,Be Smart Terrace Algarve,1366,31418,25954,"09, 2019",Portugal
CODE|66186,BE Premium Bodrum,495,13365,9405,"01, 2019",تركيا
CODE|66151,Be Live Havana City Copacabana,982,26514,14730,"07, 2019",Not Found
CODE|66116,Be Live Experience Varadero,49,1470,735,"05, 2019",Not Found
CODE|66081,Be Live Collection Punta Cana Adults Only,1483,43007,26694,"08, 2019",Dominican Republic
CODE|66046,Be Live Collection Punta Cana,1754,45604,29818,"05, 2019",Dominican Republic
CODE|66011,Be Live Collection Cayo Santa Maria Cuba,676,16900,11492,"05, 2019",Not Found
CODE|65976,Be Live Collection Canoa,437,10488,6555,"09, 2019",Dominican Republic
CODE|65941,Be Live Adults Only Marivent,1920,38400,30720,"05, 2019",Spain
CODE|65906,BCN Urbaness Hotels Gran Rosellon,528,13200,8976,"07, 2019",Spain
CODE|65871,BCN Urbaness Hotels del Comte,1680,48720,30240,"11, 2019",Spain
CODE|65836,BCN Urbaness Hotels Bonavista,478,10038,8604,"07, 2019",Spain
CODE|65801,bc hotel,207,6003,3519,"06, 2019",Turkey
CODE|65766,Baywalk Residence Pattaya,1439,40292,21585,"09, 2019",Thailand
CODE|65731,Bayview Park Hotel Manila,1084,27100,16260,"01, 2019",Philippines
CODE|65696,Bayview Hotel Melaka,1136,29536,21584,"03, 2019",Malaysia
CODE|65661,Bayview Hotel Georgetown Penang,664,17264,10624,"06, 2019",Malaysia
CODE|65626,Bayview Geographe Resort,1728,39744,32832,"02, 2019",Australia
CODE|65591,Bayview Eden Melbourne,1398,41940,25164,"06, 2019",Not Found
CODE|65556,Bayview Beach,1591,38184,30229,"10, 2019",Malaysia
CODE|65521,Bayview,1073,24679,19314,"04, 2019",Not Found
CODE|65486,Bayswater Inn Hotel,578,16184,9826,"08, 2019",المملكة المتحدة
CODE|65451,BaySide Salgados Golf & Beach Resort,117,2925,1755,"08, 2019",Not Found
CODE|65416,Bayside Hotel Katsaras,1489,35736,22335,"09, 2019",Greece
CODE|65381,Bayshore Villas Candi Dasa,706,20474,13414,"03, 2019",Indonesia
CODE|65346,Bayshore Ocean View,295,8555,4425,"11, 2019",Thailand
CODE|65311,Baymont Inn & Suites Flagstaff,1984,41664,33728,"05, 2019",USA
CODE|65276,Baymont Inn & Suites Denver International Airport,1850,37000,37000,"02, 2019",USA
CODE|65241,Baymont by Wyndham Meriden,169,4732,3042,"03, 2019",Not Found
CODE|65206,Bayir Diamond Hotel & Convention Center Konya,1638,36036,24570,"01, 2019",Turkey
CODE|65171,Bayat Hotel,1474,36850,25058,"09, 2019",السعودية
CODE|65136,Bay View Resort,815,18745,12225,"12, 2019",مصر
CODE|65101,Bay Street Hotel,518,11396,8288,"10, 2019",Not Found
CODE|65066,Bay Landing Hotel,983,27524,15728,"08, 2019",USA
CODE|65031,Bay Lake Tower at Disney's Contemporary Resort,1549,37176,29431,"11, 2019",Not Found
CODE|64996,Bay La Sun Hotel & Marina,730,20440,13870,"11, 2019",السعودية
CODE|64961,Bay Hotel,297,8316,4455,"09, 2019",مصر
CODE|64926,Baviera Mokinba Hotels,664,18592,9960,"12, 2019",Italy
CODE|64891,Bavaria Hotel Münchner Hof,233,6291,3495,"09, 2019",Deutschland
CODE|64856,Baur au Lac,568,11928,9088,"08, 2019",سويسرا
CODE|64821,Baumanburi Hotel,538,15064,10760,"01, 2019",تايلاند
CODE|64786,Bauman Residence Hotel,1399,36374,26581,"11, 2019",Thailand
CODE|64751,Bauer Palazzo,1377,41310,22032,"03, 2019",Italy
CODE|64716,Batu Caves Star Hotel,997,29910,17946,"06, 2019",Malaysia
CODE|64681,Batoul Ajyad Hotel,1412,38124,22592,"03, 2019",السعودية
CODE|64646,Baton Rouge Marriott,1916,57480,32572,"05, 2019",USA
CODE|64611,Batam Marriott Hotel Harbour Bay,202,4242,4040,"03, 2019",Indonesia
CODE|64576,Bastion Hotel Utrecht,111,2331,1887,"02, 2019",Netherlands
CODE|64541,Bastion Hotel Tilburg,1878,39438,30048,"05, 2019",Netherlands
CODE|64506,Bastion Hotel Schiphol Hoofddorp,3,78,51,"12, 2019",Nederland
CODE|64471,Bastion Hotel Leiden - Voorschoten,726,15246,14520,"07, 2019",Nederland
CODE|64436,Bastion Hotel Deluxe Zaandam Zuid,1065,26625,21300,"10, 2019",Nederland
CODE|64401,Bastion Hotel Amsterdam Zuidwest,1225,29400,23275,"04, 2019",Netherlands
CODE|64366,Bastion Hotel Amsterdam Noord,1753,38566,33307,"03, 2019",Netherlands
CODE|64331,Bastion Hotel Amsterdam Amstel,922,21206,18440,"10, 2019",Netherlands
CODE|64296,Bastion Hotel Amsterdam Airport,1872,46800,37440,"12, 2019",Netherlands
CODE|64261,BASSENA Wien Messe Prater,1269,35532,21573,"12, 2019",Österreich
CODE|64226,Basma hotel,847,18634,15246,"09, 2019",مصر
CODE|64191,Basiliani - CDSHotels,1654,47966,26464,"12, 2019",Italy
CODE|64156,Basic Braga by Axis,390,8580,6630,"04, 2019",Portugal
CODE|64121,Barracuda Beach Resort,103,2987,2060,"01, 2019",UAE
CODE|64086,Barracuda Aparthotel,1057,27482,17969,"05, 2019",Portugal
CODE|64051,Baros Maldives,1599,36777,28782,"08, 2019",Maldives
CODE|64016,Baron Resort Sharm El Sheikh,1208,28992,21744,"01, 2019",مصر
CODE|63981,Baron Palms Resort Sharm El Sheikh - Adults Only - All inclusive,262,5240,3930,"02, 2019",Egypt
CODE|63946,Baron Palace Sahl Hasheesh,1655,39720,26480,"09, 2019",مصر
CODE|63911,Baron Heliopolis,1323,37044,22491,"01, 2019",Egypt
CODE|63876,Baron Beach Hotel,1861,53969,33498,"03, 2019",تايلاند
CODE|63841,Baron Al Masif,1764,52920,28224,"07, 2019",السعودية
CODE|63806,Barocco Hotel,1553,46590,24848,"06, 2019",Not Found
CODE|63771,Barkston Rooms Earl's Court,739,16258,14041,"05, 2019",Not Found
CODE|63736,Barkston Gardens Hotel,1664,49920,29952,"01, 2019",Not Found
CODE|63701,Barın Hotel,369,7380,7380,"07, 2019",Turkey
CODE|63666,Bären Sigriswil,358,9666,5370,"07, 2019",Schweiz
CODE|63631,Barclay Hotel,1255,28865,21335,"12, 2019",كندا
CODE|63596,Barcelona Granvia Plaza Espana,1986,39720,39720,"11, 2019",Spain
CODE|63561,Barceló Torre de Madrid,239,5975,4541,"06, 2019",España
CODE|63526,Barceló Tiran Sharm,468,11232,8424,"05, 2019",مصر
CODE|63491,Barceló Tanger,104,2184,1560,"08, 2019",المغرب
CODE|63456,Barceló Tambor,933,27990,17727,"02, 2019",كوستاريكا
CODE|63421,Barceló Sevilla Renacimiento,1471,30891,22065,"08, 2019",España
CODE|63386,Barceló Sants,1345,39005,21520,"04, 2019",Spain
CODE|63351,Barceló San José,1019,23437,16304,"12, 2019",كوستاريكا
CODE|63316,Barceló Raval,1192,28608,23840,"10, 2019",إسبانيا
CODE|63281,Barceló Punta Umbría Mar,1306,33956,20896,"07, 2019",España
CODE|63246,Barceló Punta Umbría Beach Resort,1159,27816,22021,"08, 2019",Spain
CODE|63211,Barceló Oviedo Cervantes,1161,31347,20898,"04, 2019",España
CODE|63176,Barceló Mussanah Resort,1608,36984,24120,"06, 2019",عُمان
CODE|63141,Barceló Maya Palace,1612,38688,25792,"04, 2019",المكسيك
CODE|63106,Barceló Maya Colonial,1959,50934,39180,"11, 2019",Mexico
CODE|63071,Barceló Maya Caribe,992,19840,18848,"06, 2019",المكسيك
CODE|63036,Barceló Marbella,389,9336,7002,"04, 2019",إسبانيا
CODE|63001,Barceló Managua,1279,26859,19185,"01, 2019",Not Found
CODE|62966,Barceló Málaga,1270,25400,20320,"11, 2019",إسبانيا
CODE|62931,Barceló Istanbul,1234,28382,23446,"05, 2019",تركيا
CODE|62896,Barceló Isla Canela,1283,26943,24377,"02, 2019",إسبانيا
CODE|62861,Barceló Imagine,1839,38619,34941,"10, 2019",Spain
CODE|62826,Barceló Hamburg,1135,23835,21565,"07, 2019",ألمانيا
CODE|62791,Barceló Guatemala City,1660,48140,31540,"11, 2019",Guatemala
CODE|62756,Barceló Gran Faro Los Cabos,1381,34525,22096,"03, 2019",México
CODE|62721,Barceló Fuerteventura Thalasso Spa,1014,29406,15210,"07, 2019",Spain
CODE|62686,Barceló Emperatriz,880,25520,15840,"07, 2019",إسبانيا
CODE|62651,Barceló Dubai Marina Residences,1827,36540,29232,"03, 2019",UAE
CODE|62616,Barceló Costa Vasca,1460,29200,27740,"01, 2019",Spain
CODE|62581,Barcelo Concorde Les berges du Lac,866,23382,16454,"09, 2019",تونس
CODE|62546,Barceló Casablanca,1144,25168,18304,"04, 2019",المغرب
CODE|62511,Barceló Cairo Pyramids,1734,46818,26010,"12, 2019",Egypt
CODE|62476,Barceló Bilbao Nervión,1106,29862,16590,"06, 2019",إسبانيا
CODE|62441,Barceló Bávaro Palace,965,20265,18335,"10, 2019",Dominican Republic
CODE|62406,Barceló Bávaro Beach - Adults Only,1637,37651,27829,"06, 2019",Dominican Republic
CODE|62371,Barceló Aran Mantegna,1423,35575,28460,"10, 2019",إيطاليا
CODE|62336,Barceló Angra Marina,1561,45269,24976,"03, 2019",البرتغال
CODE|62301,Barbara Tourist Apartments,1543,44747,30860,"03, 2019",Cyprus
CODE|62266,Bara Guest House,1324,37072,26480,"05, 2019",South Africa
CODE|62231,B-Aparthotel Grand Place,391,8993,6256,"12, 2019",Belgium
CODE|62196,B-Aparthotel Ambiorix,1433,34392,28660,"07, 2019",Belgium
CODE|62161,Banyan Tree Vabbinfaru,216,6264,4320,"11, 2019",Maldives
CODE|62126,Banyan Tree Tamouda Bay,1415,28300,26885,"02, 2019",Morocco
CODE|62091,Banyan Tree Spa Sanctuary,1366,32784,24588,"09, 2019",Not Found
CODE|62056,Banyan Tree Seychelles,1591,36593,30229,"04, 2019",Not Found
CODE|62021,Banyan Tree Samui,927,27810,13905,"08, 2019",Thailand
CODE|61986,Banyan Tree Phuket,531,15399,9558,"11, 2019",تايلاند
CODE|61951,Banyan Tree Kuala Lumpur,1690,42250,33800,"04, 2019",Malaysia
CODE|61916,Banyan Tree Doha At La Cigale Mushaireb,745,22350,14900,"02, 2019",Qatar
CODE|61881,Banyan Tree Bangkok,1877,39417,37540,"11, 2019",Thailand
CODE|61846,Bantry Bay Suite Hotel,1384,29064,27680,"07, 2019",South Africa
CODE|61811,Banquet Halls at Shangri-La's,1637,36014,26192,"09, 2019",India
CODE|61776,"Bankside, Autograph Collection",785,20410,11775,"07, 2019",UK
CODE|61741,Bangkok Palace Hotel,1851,53679,35169,"08, 2019",Thailand
CODE|61706,Bangkok Marriott Marquis Queen’s Park,261,6003,5220,"12, 2019",Thailand
CODE|61671,Bangkok Marriott Hotel The Surawongse,197,5910,2955,"02, 2019",تايلاند
CODE|61636,Bangkok Marriott Hotel Sukhumvit,1919,47975,34542,"09, 2019",تايلاند
CODE|61601,Bangkok Cha-Da Hotel,81,1620,1539,"09, 2019",Thailand
CODE|61566,Bangkok 68,1155,32340,21945,"07, 2019",تايلاند
CODE|61531,Bandos Maldives,239,4780,3824,"12, 2019",Maldives
CODE|61496,Banana Spa,518,11396,9842,"01, 2019",Not Found
CODE|61461,Banana Island Resort Doha by Anantara,764,22156,11460,"05, 2019",Qatar
CODE|61426,Balturk Hotel Izmit,1277,31925,22986,"02, 2019",تركيا
CODE|61391,Baltimore Marriott Waterfront,879,22854,17580,"11, 2019",USA
CODE|61356,Baltimore Marriott Inner Harbor at Camden Yards,1533,32193,26061,"10, 2019",USA
CODE|61321,Baltic Beach Hotel & Spa,1169,24549,19873,"09, 2019",Latvia
CODE|61286,Balneario de Lanjarón,602,12642,12040,"07, 2019",España
CODE|61251,Balmoral Hotel,873,21825,16587,"12, 2019",المملكة المتحدة
CODE|61216,Bally's Atlantic City,503,12072,9557,"10, 2019",USA
CODE|61181,Ballarat Suites Accommodation - Best Western Plus,1002,24048,17034,"09, 2019",Australia
CODE|61146,Balina Paradise Abu Soma Resort,1385,40165,22160,"08, 2019",مصر
CODE|61111,Balin Boutique Hotel,1983,43626,33711,"06, 2019",تركيا
CODE|61076,Balim Hotel,345,8625,5520,"05, 2019",Not Found
CODE|61041,Bali Tropic Resort & Spa,1818,52722,30906,"11, 2019",إندونيسيا
CODE|61006,Bali Prime Villas,352,9152,6336,"01, 2019",Indonesia
CODE|60971,Bali Garden Beach Resort,1828,36560,31076,"12, 2019",Indonesia
CODE|60936,Bali Dynasty Resort,1582,47460,26894,"03, 2019",Indonesia
CODE|60901,Bali Baliku Beach Front Luxury Private Pool Villas,938,22512,15946,"04, 2019",Not Found
CODE|60866,Balcova Termal Otel,1863,54027,37260,"03, 2019",تركيا
CODE|60831,Balcony Hotel & Suites,1652,46256,24780,"06, 2019",Jordan
CODE|60796,Balangan Paradise Hostel and Restaurant,1792,39424,30464,"08, 2019",Indonesia
CODE|60761,Balangan Inn,653,15672,11101,"03, 2019",Indonesia
CODE|60726,Bakuriani Inn,858,18876,13728,"10, 2019",جورجيا
CODE|60691,Baku Palace Hotel,1834,45850,36680,"09, 2019",Azerbaijan
CODE|60656,Baku Marriott Hotel Boulevard,221,5304,4199,"08, 2019",Azerbaijan
CODE|60621,Bakkara Hotel,564,11844,9588,"09, 2019",Ukraine
CODE|60586,Bakersfield Marriott at the Convention Center,121,3025,2057,"01, 2019",USA
CODE|60551,Baiyun Hotel,263,7627,4208,"12, 2019",China
CODE|60516,Baiyoke Suite Hotel,1621,47009,27557,"05, 2019",Thailand
CODE|60481,Baiyoke Suite Hostel,327,7194,5886,"01, 2019",Thailand
CODE|60446,Baiyoke Sky Hotel,1782,37422,26730,"01, 2019",تايلاند
CODE|60411,Baity Hotel Apartments,1442,40376,23072,"05, 2019",UAE
CODE|60376,Bait Al Amani Suites,155,3565,2480,"02, 2019",السعودية
CODE|60341,Baisan International Hotel,1843,53447,29488,"11, 2019",البحرين
CODE|60306,Bairro Alto Hotel,1303,37787,24757,"05, 2019",البرتغال
CODE|60271,Baia Bursa Hotel,1539,36936,30780,"12, 2019",تركيا
CODE|60236,Bahrain International Hotel,1623,32460,24345,"04, 2019",Bahrain
CODE|60201,Bahrain Carlton Hotel,1769,37149,30073,"04, 2019",Bahrain
CODE|60166,Bahrain Airport Hotel,297,7425,5346,"10, 2019",Bahrain
CODE|60131,Bahia Principe Luxury Esmeralda,1702,35742,28934,"03, 2019",الدومينيكان
CODE|60096,Bahia Principe Luxury Cayo Levantado,1822,52838,29152,"06, 2019",Rep. Dominicana
CODE|60061,Bahia Principe Grand Turquesa,408,8160,7752,"05, 2019",Dominican Republic
CODE|60026,Bahia Principe Grand Tulum,60,1200,1140,"11, 2019",المكسيك
CODE|59991,Bahia Principe Grand Punta Cana,909,25452,13635,"06, 2019",الدومينيكان
CODE|59956,Bahia Principe Grand La Romana,588,14700,11760,"01, 2019",Dominican Republic
CODE|59921,Bahia Principe Grand Jamaica,196,5880,3724,"11, 2019",Jamaica
CODE|59886,Bahia Principe Grand Aquamarine,616,14168,11088,"09, 2019",Dominican Republic
CODE|59851,Bahia Principe Fantasia Punta Cana,1667,46676,30006,"12, 2019",الدومينيكان
CODE|59816,Bahia Cabana Beach Resort,980,21560,15680,"08, 2019",Not Found
CODE|59781,Bahi Ajman Palace Hotel,1167,29175,17505,"05, 2019",UAE
CODE|59746,Bahana Guest House,1836,49572,27540,"08, 2019",Indonesia
CODE|59711,Bagues Hotel Barcelona 5*,712,16376,10680,"11, 2019",إسبانيا
CODE|59676,Baglioni Hotel Regina - Rome,1398,32154,22368,"07, 2019",Italy
CODE|59641,Baglioni Hotel Luna,1425,41325,22800,"12, 2019",إيطاليا
CODE|59606,Baglioni Hotel London,1410,29610,26790,"04, 2019",UK
CODE|59571,Baglioni Hotel Carlton - Milan,1211,29064,20587,"10, 2019",Not Found
CODE|59536,Bagden Hall Hotel,533,14391,9594,"04, 2019",UK
CODE|59501,"Baeren Hotel, The Bear Inn",538,11836,8070,"01, 2019",سويسرا
CODE|59466,Badr Al Maqam,47,987,799,"08, 2019",السعودية
CODE|59431,Bade Hotels Sisli - Summit Hotels & Resorts,1998,55944,31968,"06, 2019",Not Found
CODE|59396,Badagoni Boutique Hotel Rustaveli,1004,25100,16064,"02, 2019",Georgia
CODE|59361,Babylon Warwick Hotel,1247,29928,22446,"06, 2019",Iraq
CODE|59326,Babylon Rotana Baghdad,806,24180,12090,"01, 2019",العراق
CODE|59291,Babuino 181 - Small Luxury Hotels of the World,1683,33660,31977,"08, 2019",Italy
CODE|59256,Babillon Hotel & Spa & Restaurant,1395,39060,20925,"02, 2019",Turkey
CODE|59221,Babel Studios,54,1080,918,"06, 2019",Argentina
CODE|59186,Bab Al Shams Desert Resort & Spa,1225,33075,19600,"06, 2019",الإمارات
CODE|59151,Bab Al Qasr Hotel,1710,41040,25650,"10, 2019",UAE
CODE|59116,Bab Al Multazim Concorde Hotel,750,21750,14250,"09, 2019",Not Found
CODE|59081,Baan Samui Resort,53,1272,901,"05, 2019",Thailand
CODE|59046,Baan Laimai Patong Beach Resort,329,9541,5264,"08, 2019",تايلاند
CODE|59011,B4 Plaza Nice,48,1152,864,"05, 2019",Not Found
CODE|58976,B&B Trevi Roma,194,5820,2910,"12, 2019",Italia
CODE|58941,B&B Rabat Médina,320,8960,4800,"12, 2019",Not Found
CODE|58906,B&B Hotels RJ Copacabana,90,2430,1350,"11, 2019",Brazil
CODE|58871,B&B Hotels Rio Copacabana Posto 5,635,17145,11430,"06, 2019",Brazil
CODE|58836,B&B Hotel Roma Fiumicino Aeroporto Fiera 1,1030,28840,16480,"01, 2019",Italia
CODE|58801,B&B Hotel Prague-City,1041,20820,19779,"07, 2019",Czech Republic
CODE|58766,B&B Hotel Paris Nord 2 CDG Aéroport,723,18075,11568,"07, 2019",France
CODE|58731,B&B Hôtel Paris Le Bourget,1645,32900,27965,"04, 2019",فرنسا
CODE|58696,B&B Hotel Paris 17 Batignolles,1945,48625,35010,"02, 2019",فرنسا
CODE|58661,B&B Hotel Milano San Siro,1696,49184,32224,"11, 2019",Italy
CODE|58626,B&B Hotel Milano Aosta,1441,41789,27379,"01, 2019",إيطاليا
CODE|58591,B&B Hôtel Marne la Vallée Bussy,351,7020,7020,"11, 2019",فرنسا
CODE|58556,B&B Hotel Madrid Pinar de Las Rozas,1022,20440,16352,"04, 2019",إسبانيا
CODE|58521,B&B Hotel Madrid Aeropuerto T1 T2 T3,1406,32338,23902,"11, 2019",إسبانيا
CODE|58486,B&B Hôtel La Rochelle Centre,1807,45175,28912,"08, 2019",فرنسا
CODE|58451,B&B Hotel Girona 2,1204,36120,19264,"12, 2019",Spain
CODE|58416,B&B Hotel Fuencarral 52,1957,50882,33269,"10, 2019",Spain
CODE|58381,B&B Hotel Firenze Nuovo Palazzo Di Giustizia,192,5376,3840,"01, 2019",Italia
CODE|58346,B&B Hotel Como City Center,976,27328,14640,"11, 2019",Italy
CODE|58311,B&B Hotel Brussels Centre Louise,953,28590,15248,"02, 2019",Belgium
CODE|58276,B&B Hotel Barcelona Rubí,817,23693,16340,"09, 2019",إسبانيا
CODE|58241,B&B Hotel at Disneyland® Paris,221,4641,4420,"05, 2019",France
CODE|58206,B&B Hotel Amsterdam-Zaandam,1036,20720,20720,"01, 2019",هولندا
CODE|58171,B Resort & Spa,656,13776,11808,"12, 2019",USA
CODE|58136,B Residence,1150,23000,20700,"02, 2019",لبنان
CODE|58101,B Ocean Resort Fort Lauderdale,1909,38180,38180,"11, 2019",USA
CODE|58066,B Business Hotel & Spa,1037,25925,19703,"11, 2019",Turkey
CODE|58031,Azure Cave Suites - Hotel,1680,42000,31920,"01, 2019",Turkey
CODE|57996,Azura Deluxe Resort & Aqua Sorgun,986,26622,14790,"06, 2019",Turkey
CODE|57961,Azur Paradise,1461,39447,27759,"03, 2019",موريشيوس
CODE|57926,Azumi Boutique Hotel,1980,49500,39600,"11, 2019",الفلبين
CODE|57891,azuLine Hotel Bergantin,1759,36939,29903,"05, 2019",Spain
CODE|57856,AzuLine Hotel Bahamas & Bahamas II,284,7100,4260,"04, 2019",Spain
CODE|57821,azuLine Apartamentos Sunshine,1628,47212,29304,"12, 2019",Not Found
CODE|57786,Azka Restaurant,1014,29406,17238,"11, 2019",Not Found
CODE|57751,Aziyade Hotel,1864,50328,27960,"02, 2019",Not Found
CODE|57716,AZIMUT Hotel Smolenskaya Moscow,1563,45327,25008,"07, 2019",روسيا
CODE|57681,AZIMUT Hotel Nuremberg,1041,28107,17697,"01, 2019",Germany
CODE|57646,AZIMUT Hotel Munich City East,1335,30705,24030,"07, 2019",Germany
CODE|57611,AZIMUT Hotel Erding,275,5500,4950,"01, 2019",Germany
CODE|57576,AZIMUT Hotel Berlin Kurfürstendamm,451,9471,6765,"07, 2019",Germany
CODE|57541,Azimut Hotel Berlin City South,1037,21777,16592,"09, 2019",Germany
CODE|57506,Azcot Hotel,1374,30228,23358,"09, 2019",أذربيجان
CODE|57471,Azar Hotel (Boutique hotel),1765,44125,30005,"02, 2019",مصر
CODE|57436,Azalaï Hotel de la Plage,960,22080,15360,"06, 2019",Bénin
CODE|57401,Azade Hotel,1900,41800,32300,"08, 2019",تركيا
CODE|57366,AZ Hotel Zeralda,1154,28850,21926,"10, 2019",الجزائر
CODE|57331,AZ Hotel Vague D'or,1745,43625,29665,"06, 2019",Not Found
CODE|57296,Ayyan Al Baraka Hotel,1239,37170,19824,"05, 2019",Not Found
CODE|57261,Ayrest Hotel 华欣,1097,32910,18649,"12, 2019",Thailand
CODE|57226,Ayres Hotel Fountain Valley,431,10775,8189,"04, 2019",USA
CODE|57191,Ayre Hotel Sevilla,584,15184,9928,"10, 2019",Spain
CODE|57156,Ayre Hotel Alfonso II,1187,30862,17805,"07, 2019",Spain
CODE|57121,Aypart Hotel,1144,29744,19448,"05, 2019",تركيا
CODE|57086,Ayodya Resort Bali,1238,28474,19808,"07, 2019",Indonesia
CODE|57051,Ayna Hotel,1920,44160,34560,"10, 2019",Not Found
CODE|57016,Ayla Ibri Hotel,741,17784,11115,"12, 2019",عُمان
CODE|56981,Ayla Hotel,513,13338,8721,"09, 2019",الإمارات
CODE|56946,Ayla Grand Hotel,1003,28084,19057,"10, 2019",الإمارات
CODE|56911,Ayla Bawadi Hotel,145,3625,2175,"06, 2019",الإمارات
CODE|56876,Ayhan Hotel,1941,44643,34938,"10, 2019",تركيا
CODE|56841,Ayder Yesil Vadi Otel,508,10668,8636,"02, 2019",Turkey
CODE|56806,Ayder Doga Resort,1143,28575,22860,"12, 2019",تركيا
CODE|56771,Ayasultan Hotel,1465,39555,23440,"03, 2019",تركيا
CODE|56736,Ayass Hotel,1121,25783,19057,"09, 2019",الأردن
CODE|56701,Ayasofya Hotel,493,14790,7888,"08, 2019",تركيا
CODE|56666,Ayara Hotel Resort and Spa,936,27144,18720,"08, 2019",تايلاند
CODE|56631,Ayapam Boutique,658,16450,12502,"04, 2019",Turkey
CODE|56596,AYANA Resort Bali,1038,20760,20760,"04, 2019",Indonesia
CODE|56561,Ayan furnished units and Suites,1493,31353,29860,"11, 2019",Saudi Arabia
CODE|56526,Ayada Maldives,13,325,195,"06, 2019",Maldives
CODE|56491,Aya Boutique Hotel Pattaya,225,6075,3825,"03, 2019",Thailand
CODE|56456,Aya Beach Bungalows,112,2912,1680,"08, 2019",Tanzania
CODE|56421,Axor Feria Hotel,792,16632,12672,"04, 2019",إسبانيا
CODE|56386,Axis Suites Hotel,555,12765,9435,"07, 2019",Ghana
CODE|56351,Axis Hotel 4*,1288,34776,21896,"02, 2019",Belgium
CODE|56316,Axel Hotel Madrid - Adults Only,1768,44200,33592,"05, 2019",إسبانيا
CODE|56281,Axel Hotel Berlin – Adults Only,1738,48664,26070,"04, 2019",Germany
CODE|56246,Axel Hotel Barcelona – Adults Only,62,1302,992,"04, 2019",Spain
CODE|56211,AX The Saint John,111,2220,1998,"12, 2019",Malta
CODE|56176,AWFAD Hotel,143,2860,2574,"09, 2019",السعودية
CODE|56141,Awana Hotel,541,12443,8656,"03, 2019",ماليزيا
CODE|56106,Awaliv Suites,500,11500,9000,"12, 2019",Saudi Arabia
CODE|56071,Awaliv International Hotel,873,21825,16587,"02, 2019",السعودية
CODE|56036,Awal Hotel Manama,19,437,323,"01, 2019",Not Found
CODE|56001,Avra Imperial Hotel,1517,30340,27306,"08, 2019",Greece
CODE|55966,"Avista Hideaway Phuket Patong, MGallery by Sofitel",988,29640,15808,"07, 2019",Thailand
CODE|55931,Avillion Admiral Cove,1762,38764,29954,"04, 2019",Malaysia
CODE|55896,Avicenna Hotel,1091,32730,20729,"03, 2019",Turkey
CODE|55861,Aviator Sheremetyevo,1409,40861,22544,"12, 2019",Russia
CODE|55826,Averof Hotel,1967,53109,39340,"11, 2019",Not Found
CODE|55791,Avenue Hotel Dubai,1694,45738,32186,"10, 2019",UAE
CODE|55756,Avenue Hotel Baku,103,3090,1648,"02, 2019",Azerbaijan
CODE|55721,Avenue Hotel,1877,39417,37540,"11, 2019",جورجيا
CODE|55686,Aventura Mexicana Hotel,90,2610,1350,"08, 2019",Not Found
CODE|55651,Avenida Palace,1772,38984,26580,"09, 2019",Portugal
CODE|55616,avendi Hotel am Griebnitzsee,1522,35006,30440,"09, 2019",Germany
CODE|55581,Avcilar Vizyon Hotel,897,20631,17940,"06, 2019",تركيا
CODE|55546,Avcılar İnci Hotel,1498,41944,25466,"07, 2019",تركيا
CODE|55511,avcılar dedem hotel 2,962,26936,19240,"04, 2019",Turkey
CODE|55476,Avari Towers,454,10442,7718,"11, 2019",Pakistan
CODE|55441,Avari Hotel Lahore,1573,47190,23595,"12, 2019",Pakistan
CODE|55406,Avari Al Barsha Apartment Hotel,782,21114,14858,"10, 2019",Not Found
